timestamp,query,latency_ms,evidence_ids,confidence,num_evidence,num_records,retrieval_method,llm_used,answer_preview
2026-02-10T14:23:15Z,What are the drug interactions for ibuprofen?,4523.2,"[63447-275-10::drug_interactions]; [63447-275-10::warnings]; [63447-275-10::active_ingredient]; [0363-0587-01::drug_interactions]; [0363-0587-01::warnings]",0.78,5,145,hybrid,False,Concurrent use of ibuprofen with aspirin or other NSAIDs may increase risk of GI side effects [63447-275-10::drug_in
2026-02-10T15:01:42Z,What is the recommended dosage for acetaminophen and are there any warnings?,3891.7,"[0363-0139-10::dosage_and_administration]; [0363-0139-10::warnings]; [0363-0139-10::active_ingredient]; [55154-2509-1::dosage_and_administration]; [55154-2509-1::warnings]",0.82,5,203,hybrid,False,"Adults and children 12 years and over: take 2 caplets every 6 hours while symptoms persist [0363-0139-10::dosage_and_"
2026-02-10T16:15:33Z,What safety warnings exist for caffeine-containing products?,5102.4,"[0517-0180-01::drug_interactions]; [0517-0180-01::warnings]; [0517-0180-01::description]; [55045-1326-1::warnings]",0.74,4,89,hybrid,False,"Limit the use of caffeine-containing medications, foods, or beverages because too much caffeine may cause nervousness"
2026-02-11T09:45:21Z,Are there any warnings for aspirin use during pregnancy?,4201.8,"[41250-780-01::warnings]; [41250-780-01::description]; [41250-780-01::active_ingredient]; [41250-780-01::when_using]; [0363-0138-09::warnings]",0.8,5,167,hybrid,False,"It is especially important not to use aspirin during the last 3 months of pregnancy unless definitely directed to do s"
2026-02-11T10:30:55Z,What are the overdosage symptoms for diphenhydramine?,3654.1,"[36800-048-71::overdosage]; [36800-048-71::warnings]; [36800-048-71::dosage_and_administration]; [0363-0310-10::overdosage]",0.76,4,112,hybrid,False,"Overdosage symptoms may include extreme drowsiness, impaired coordination, dilated pupils, and dry mouth [36800-048-7"
2026-02-11T14:12:08Z,What is the projected cost of antimicrobial resistance to GDP in 2050?,2103.5,,0.0,3,12,hybrid,False,Not enough evidence in the retrieved context.
2026-02-12T08:05:44Z,I am taking aspirin daily. What should I know about overdosage and when to stop use?,5891.3,"[41250-780-01::overdosage]; [41250-780-01::stop_use]; [41250-780-01::warnings]; [0363-0138-09::stop_use]; [0363-0138-09::overdosage]",0.82,5,167,hybrid,False,"Stop use and ask a doctor if: an allergic reaction occurs, pain gets worse or lasts more than 10 days [41250-780-01::s"
2026-02-12T18:31:39Z,What are the drug interactions for ibuprofen?,65384.9,[4ab74cc4-9c95-07c1-e054-00144ff8d46c::drug_interactions]; [ef408ee9-6806-423f-9998-53d81cc71b94::information_for_patients]; [ef408ee9-6806-423f-9998-53d81cc71b94::warnings],0.74,3,100,hybrid,False,"analgesic/anti-inflammatory (e.g., acetaminophen, aspirin, codeine, ibuprofen, indomethacin); 2. [4ab74cc4-9c95-07c1-e054-00144ff8d46c::drug_interacti"
2026-02-12T18:46:25Z,What are the drug interactions for ibuprofen?,323316.8,[c79a3108-004f-4189-ad06-527e41392a11::drug_interactions]; [c79a3108-004f-4189-ad06-527e41392a11::information_for_patients]; [4ab74cc4-9c95-07c1-e054-00144ff8d46c::drug_interactions]; [ef408ee9-6806-423f-9998-53d81cc71b94::information_for_patients]; [ee3f4454-ab87-42ff-b408-a654e0833d14::drug_interactions],1.0,5,311,hybrid,False,"Drug Interactions Inhibitors of CYP3A4 and CYP2D6 The concomitant use of Oxycodone Hydrochloride and Ibuprofen Tablets and CYP3A4 inhibitors, such as "
2026-02-12T18:59:21Z,What are the drug interactions for ibuprofen?,651809.1,[c79a3108-004f-4189-ad06-527e41392a11::drug_interactions]; [c79a3108-004f-4189-ad06-527e41392a11::information_for_patients]; [4ab74cc4-9c95-07c1-e054-00144ff8d46c::drug_interactions]; [ef408ee9-6806-423f-9998-53d81cc71b94::information_for_patients]; [ee3f4454-ab87-42ff-b408-a654e0833d14::drug_interactions],1.0,5,311,hybrid,False,"Drug Interactions Inhibitors of CYP3A4 and CYP2D6 The concomitant use of Oxycodone Hydrochloride and Ibuprofen Tablets and CYP3A4 inhibitors, such as "
